dst_mac,src_mac,dst_ip,src_ip,dst_port,src_port,length,vlan,pcp,nop,await0,await1,prot
b7:9a:e8:8c:9b:0c,dd:fc:9e:95:73:0f,218.214.84.68,220.122.63.186,36913,53365,331,169,5,59953,45,70,0
fd:9d:7e:e1:37:56,9b:09:04:0b:e7:f4,84.16.219.223,228.95.35.154,29545,54570,429,87,2,37669,73,87,0
63:ca:7e:2a:f9:35,99:ce:10:d0:ba:32,90.154.22.189,232.11.209.119,55239,21324,1348,462,5,53100,77,10,0
51:12:c0:08:c9:11,42:06:8b:d1:45:e7,94.77.105.248,48.156.56.147,38762,37845,790,34,5,59095,78,58,1
54:9b:ef:1e:b4:4b,4a:f2:40:a1:d3:28,161.23.185.130,93.76.75.244,863,34458,780,2137,2,44250,72,51,0
a3:df:e6:05:82:eb,1c:67:36:11:2b:e7,6.88.229.22,223.13.4.63,34900,45055,701,2596,4,26168,118,110,1
1d:46:01:0c:1b:0e,d3:e1:1e:d0:74:a9,110.97.158.3,246.18.194.187,5105,56060,1031,1739,0,41949,3,12,1
fd:e2:24:35:c5:88,3a:05:4d:05:83:d3,49.218.66.231,131.27.28.73,12557,37657,608,4009,1,47808,64,50,0
60:64:9f:39:8b:32,d9:65:03:79:2d:20,120.50.251.121,164.56.91.149,22263,38820,1258,2152,7,50021,95,29,0
a3:3e:a5:86:76:81,61:87:95:90:28:ae,163.23.92.58,233.5.241.225,19546,57451,240,536,4,3555,28,53,0
b9:03:1e:9e:87:3d,88:b4:6a:38:3c:71,40.22.45.132,183.243.247.167,62875,25171,707,1139,2,10743,11,0,1
ac:6b:05:ee:db:e7,9c:9c:b6:0a:c0:b8,218.214.84.68,242.168.13.252,21321,61600,565,2267,5,20616,115,82,0
07:bb:6a:fa:76:9a,ba:82:01:5f:25:04,92.111.65.224,232.43.151.25,3198,11532,500,3330,4,1958,95,27,0
96:f8:85:99:bf:90,d3:e4:09:a2:08:fd,14.112.54.48,136.173.120.87,719,7332,339,2415,4,17877,76,50,1
08:5d:87:af:14:57,70:50:66:5e:be:ad,52.97.229.139,138.231.207.107,57657,53819,1112,2577,5,36634,89,66,1
0e:fe:cd:a9:e2:02,21:94:5d:4a:76:f3,81.222.99.13,173.199.154.54,46288,64383,1154,366,6,61908,61,59,1
62:f9:e6:e2:06:38,41:81:95:f7:6f:e6,240.193.25.216,229.84.102.89,9040,6161,579,153,2,17744,122,17,1
9b:c2:17:6a:ad:4c,e1:4e:65:06:ef:2e,177.60.81.35,89.14.212.144,5372,59850,507,377,2,27766,68,94,1
cf:b7:e3:04:06:36,bd:3e:11:f3:f8:a6,203.104.205.246,223.13.4.63,33412,21497,358,1675,3,9060,13,72,1
e7:de:95:dd:72:15,b2:5e:22:db:c8:2c,3.240.2.41,112.42.11.171,61889,25812,1024,1426,3,15062,118,112,1
9b:c2:17:6a:ad:4c,56:40:ee:14:47:bf,222.193.189.188,22.153.107.215,62555,17125,862,4066,7,14110,30,60,1
4a:f2:40:a1:d3:28,42:06:8b:d1:45:e7,29.192.234.123,47.17.206.19,20564,26733,1036,3302,2,39908,26,117,0
0a:20:2f:26:d9:74,d9:66:a9:eb:aa:c1,177.60.81.35,150.138.64.105,32784,28713,958,3029,7,43518,98,63,0
2a:63:6b:5f:5c:21,68:f1:1b:f5:88:39,43.96.119.196,39.177.208.117,50899,18556,276,773,7,8549,92,45,0
2b:09:2a:32:20:85,49:75:00:3a:f9:11,17.119.185.55,161.23.185.130,58018,9564,654,3046,5,18691,81,83,1
bb:2d:4f:14:7e:45,6f:ea:7b:a0:97:ac,242.168.13.252,178.22.42.126,47083,46665,1119,595,4,18416,82,64,0
9a:aa:b7:47:b1:67,1b:94:43:33:ed:18,96.171.130.202,241.229.23.84,51664,36791,1143,228,5,34989,25,33,0
4e:e1:6c:5a:1b:d2,ee:7c:72:36:2c:97,96.171.130.202,165.0.218.9,21261,16301,1025,1552,1,16493,12,76,1
d9:65:03:79:2d:20,61:87:95:90:28:ae,124.217.62.217,241.229.23.84,45607,39116,882,1260,5,36911,38,111,0
1b:08:a2:4d:55:cf,88:b4:6a:38:3c:71,39.177.208.117,0.222.85.226,39541,56920,673,3212,7,51286,110,72,0
6f:ea:7b:a0:97:ac,b2:a7:80:af:68:2c,90.154.22.189,246.18.194.187,3672,25208,962,1383,3,45533,92,96,0
bc:fb:50:45:e9:8a,e3:8f:bd:98:66:e7,223.13.4.63,126.192.139.178,47218,31655,591,2096,6,58443,78,116,1
c9:a9:ff:b5:a3:56,67:1a:63:9a:15:2c,61.239.119.213,135.113.236.161,15127,26477,1422,3315,5,50827,75,95,0
18:22:46:0c:cf:d6,28:fc:be:e5:9f:26,103.46.94.79,232.247.93.255,26123,60702,402,3235,7,21871,75,33,1
49:6d:54:cd:fe:4d,09:b2:d8:bf:5c:9e,28.171.212.197,22.2.45.162,41285,11551,1225,1790,7,39200,47,113,0
ca:59:d5:97:0d:e7,54:9b:ef:1e:b4:4b,136.115.41.246,93.3.77.109,58037,57885,739,1007,4,21322,78,24,1
95:b4:06:ef:71:9a,dd:f9:10:12:bf:94,127.26.240.59,228.241.7.27,47989,11467,863,2412,1,1894,33,50,0
55:c5:7f:fd:95:5d,1b:08:a2:4d:55:cf,14.175.64.221,144.208.144.190,9435,809,477,2651,5,44977,82,15,1
0e:fe:cd:a9:e2:02,dd:f9:10:12:bf:94,112.42.11.171,116.9.170.244,57014,26469,400,2873,2,23214,33,29,0
63:ca:7e:2a:f9:35,1d:9b:19:fb:79:7a,33.69.85.156,46.55.118.178,46045,19329,976,3478,1,28730,7,70,0
62:2e:9e:de:91:3a,54:9b:ef:1e:b4:4b,189.70.26.174,138.231.207.107,28959,2566,993,2616,1,1853,72,70,0
3c:2c:43:72:c1:d5,a3:3d:b8:8d:e1:f8,228.95.35.154,122.108.164.115,54628,41187,646,1887,2,38292,64,11,0
55:e3:13:c7:73:11,7f:bd:c8:45:9e:42,247.250.135.63,23.90.116.248,2471,55707,866,2928,1,45689,122,3,1
3c:26:ca:41:0b:a1,e7:de:95:dd:72:15,34.138.33.187,64.117.227.189,20184,48024,567,2493,7,40563,112,34,0
1c:67:36:11:2b:e7,94:67:63:d9:8f:c3,160.226.106.121,135.82.109.50,19415,44676,771,2107,2,52203,78,80,0
54:8a:f4:de:38:f8,78:aa:73:03:00:17,81.222.99.13,58.30.252.159,19025,18603,548,384,1,4094,54,95,0
dd:fc:9e:95:73:0f,21:0c:75:d4:6c:45,60.61.69.163,135.159.44.119,39618,54647,191,538,3,36055,25,85,0
e4:13:4e:f2:68:da,19:63:d5:d4:97:5d,229.84.102.89,112.42.11.171,6050,46997,688,730,2,25177,74,40,0
4a:f2:40:a1:d3:28,46:7a:1b:92:a0:de,142.248.100.149,173.153.0.229,35893,24087,1195,3343,6,39693,80,61,0
6f:ea:7b:a0:97:ac,81:f3:00:1b:2f:83,39.177.208.117,88.156.194.252,30577,50046,104,3801,3,64401,58,127,1
6c:10:e6:7f:d2:6c,99:5e:6e:aa:a2:d3,109.2.254.98,91.203.31.66,51246,35056,1223,311,3,47905,87,18,1
ab:a7:7e:88:7c:52,62:2e:9e:de:91:3a,228.241.7.27,222.193.189.188,38738,41619,808,1261,7,34432,17,39,1
b3:b3:ef:09:fa:b4,b4:53:d4:65:f0:79,105.166.83.31,17.119.185.55,31832,27729,1314,2547,7,40507,84,101,0
54:79:3b:d3:21:2a,20:4b:e7:10:7a:46,110.97.158.3,23.90.116.248,48568,44306,987,1695,1,32847,125,15,0
c3:a4:17:af:30:cb,15:b5:05:ec:29:b8,91.212.203.219,154.221.16.57,21934,28501,135,1474,1,40276,113,59,0
5a:97:49:ce:c9:7a,27:f6:19:3b:c8:02,7.250.128.129,233.165.151.142,9420,2817,163,3327,5,11961,42,3,0
78:aa:73:03:00:17,26:0c:a7:33:18:8f,59.242.239.27,164.170.241.102,40547,5580,1327,1354,6,15630,52,100,0
31:0e:e1:2d:00:a5,18:22:46:0c:cf:d6,135.159.44.119,134.251.159.158,40508,36896,1222,770,3,4868,104,76,0
b2:5e:22:db:c8:2c,90:64:52:07:de:f9,203.151.73.14,168.247.134.137,21950,49550,389,3854,7,56516,100,106,0
5d:a2:94:c0:ea:a5,9a:2a:19:36:9b:8a,173.199.154.54,201.102.167.209,32492,63027,908,940,4,46970,51,5,0
d8:d3:15:1d:de:d4,86:cc:8d:81:33:fa,92.111.65.224,222.198.81.191,2559,27981,380,401,2,51498,38,126,0
49:6d:54:cd:fe:4d,5e:62:93:77:55:6e,86.94.61.70,193.123.45.209,65456,46094,836,1243,7,36356,81,74,0
90:44:7a:f9:9d:08,26:0c:a7:33:18:8f,121.254.100.71,222.198.81.191,36838,43938,153,3112,6,5343,90,62,0
ac:6b:05:ee:db:e7,a1:d7:fa:65:33:ae,33.69.85.156,22.153.107.215,62363,19473,793,2948,1,23973,71,91,1
5b:f6:20:2b:8c:ae,e0:0b:39:2d:78:bc,59.59.239.53,233.5.241.225,8350,39878,985,493,0,38299,24,108,1
fb:49:b7:72:3c:08,42:06:8b:d1:45:e7,79.224.149.149,142.248.100.149,59897,31055,181,695,1,9342,126,17,0
1d:46:01:0c:1b:0e,9a:46:33:cc:a7:ea,21.33.152.193,94.56.189.125,33614,41718,829,4078,4,36975,0,55,1
d0:d5:0e:a4:25:e5,4e:95:db:04:01:a0,200.94.176.103,163.23.92.58,40413,48820,606,1526,4,40104,51,21,1
61:87:95:90:28:ae,5a:18:ba:da:24:22,14.194.206.15,120.101.22.216,2921,56666,1322,2790,0,45606,99,22,0
ba:82:01:5f:25:04,67:1a:63:9a:15:2c,238.189.98.53,150.36.223.37,25321,51564,819,2044,3,11806,124,0,1
e3:8f:bd:98:66:e7,43:ad:4c:b1:4c:8d,204.248.148.176,135.113.236.161,10917,52497,891,1776,2,50453,81,123,1
e4:13:4e:f2:68:da,d0:d5:0e:a4:25:e5,6.88.229.22,29.192.234.123,17724,43360,965,3546,0,20497,35,41,1
ce:e1:c5:ae:2b:45,64:54:6b:6a:b6:f2,226.182.86.107,214.135.213.31,7720,47586,1414,2053,2,60952,117,53,0
